RegionName,2010-01,2010-02,2010-03,2010-04,2010-05,2010-06,2010-07,2010-08,2010-09,2010-10,2010-11,2010-12,2011-01,2011-02,2011-03,2011-04,2011-05,2011-06,2011-07,2011-08,2011-09,2011-10,2011-11,2011-12,2012-01,2012-02,2012-03,2012-04,2012-05,2012-06,2012-07,2012-08,2012-09,2012-10,2012-11,2012-12,2013-01,2013-02,2013-03,2013-04,2013-05,2013-06,2013-07,2013-08,2013-09,2013-10,2013-11,2013-12,2014-01,2014-02,2014-03,2014-04,2014-05,2014-06,2014-07,2014-08,2014-09,2014-10,2014-11,2014-12,2015-01,2015-02,2015-03,2015-04,2015-05,2015-06,2015-07,2015-08,2015-09,2015-10,2015-11,2015-12,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10
Knox,85900,81900,81600,79400,76900,75000,73400,71500,69600,68200,67300,65800,64400,63500,62800,62000,61600,61500,61600,62000,62400,62500,62700,63200,63900,64800,65500,66100,66400,66600,67100,67300,67300,68200,69800,70100,69400,68700,68500,68600,68900,69300,69700,69800,69600,69500,69400,69300,69000,68500,68300,68700,69000,68900,68400,68300,68500,69000,69500,69900,70100,70100,70100,70500,71100,71400,71400,71900,72800,73300,73100,73300,73300,73000,72300,71700,70900,70500,70700,71300,71600,71600,71400,71100,70600,70300,70500,71100,71400,71300,71400,72000,72800,73500
Henry,102300,102600,101700,101500,102400,102800,102400,102200,101800,101100,100300,100400,101100,100800,99200,98600,99000,99500,99700,100000,100500,101000,100700,100000,99400,99300,99500,99800,99800,99600,99300,98900,98500,98600,99600,100900,102200,103100,103200,102600,102700,103400,103500,102800,102400,102800,102700,102000,101600,101600,101600,101200,100700,100500,100600,100800,101200,102100,103000,103100,103100,103300,104100,104500,104400,103800,103800,104700,106600,107500,107700,107500,107400,107500,108100,108700,109900,111400,112400,113500,112100,108600,106200,105900,105700,105700,106500,107600,107500,106900,106400,105200,104000,103600
Grundy,170400,166600,166500,164700,162700,161400,160200,158300,156300,155000,154100,153900,154000,153500,152800,152500,152000,150900,149600,147800,145700,144600,144800,145500,146300,146900,146800,146700,147200,148300,149100,149400,149800,150500,151000,151400,151800,152200,152600,153200,154000,154100,155700,159200,161800,162400,162400,162400,161500,161000,161700,161500,159500,158200,157400,157100,158100,159400,159700,160000,160700,161500,162000,162300,163200,163000,163000,163000,164800,165800,166000,166600,169000,169900,169900,171000,172900,175100,175800,175700,175300,175100,174400,174100,174100,174400,174600,174900,175200,176500,178700,180200,178900,177000
Stephenson,93300,91200,89400,87400,85200,83400,82300,80800,78700,77400,76400,75000,74200,74500,74600,74900,74700,73800,72500,71600,71300,71100,70400,69600,69100,68600,68300,68000,67200,66200,65200,64200,63100,61900,60800,60400,60500,60900,61300,61600,61500,62000,63300,65200,66900,68400,70600,73300,75800,78200,80400,82800,85500,87200,87600,87200,86700,87700,89600,90500,89000,86600,84300,82800,82400,83500,84800,85300,85300,85200,85300,85400,85800,87100,88600,90000,91000,91000,89700,88500,88600,89900,90400,89500,88100,86800,85500,84600,84100,84100,84700,85900,86800,87200
Livingston,89000,87800,88600,89300,89700,89800,90000,90700,91800,93300,94000,94100,94000,93700,92300,91300,92000,93200,93000,92200,91200,89400,88100,87900,88200,88700,89200,89100,88200,87600,87700,87900,87700,87500,87500,87900,88300,87900,87500,87000,86700,86200,85700,85300,84500,83100,82100,82000,82000,81300,80700,80500,80200,79800,79700,79500,79300,79000,78900,79400,80400,81100,81400,81700,81800,81900,82100,83000,84800,86400,86600,85500,84200,83400,82600,82300,82900,84100,84600,84300,84800,86100,87400,88100,88600,88800,89400,90500,91200,90800,90500,90500,90300,89800
Woodford,136700,139500,138100,137800,137400,136400,135300,135300,135300,135400,136000,136700,137700,139600,141500,141900,140900,139600,138800,138900,138800,138900,140000,140400,139700,139500,140900,142600,143700,145400,146700,147400,148800,150300,150900,151200,151100,150200,149200,148700,148800,148800,148800,148900,148500,147200,145500,143300,141400,141100,141500,141000,140600,140800,140800,141000,141300,142100,143300,144000,144000,143900,144000,144200,144600,145600,146600,146700,145800,144700,144200,144100,144000,144400,144900,145400,145800,145800,145400,144800,145100,146600,148000,148000,147500,146400,145500,145100,145900,146100,146000,145700,145800,146200
Morgan,76500,75500,75700,75700,75300,75000,74600,73800,72900,72700,72700,72700,72500,72100,71400,70800,70800,71600,72700,73800,74200,74200,74300,74300,73800,73300,73000,72600,72100,71800,71500,71000,71100,71800,72000,72000,72500,73300,74100,75100,75800,76100,76200,76800,77000,76800,76400,76600,77100,77900,78600,79100,79700,80500,80800,80500,80000,79700,79800,80200,80500,80500,80600,80500,79900,79100,79200,80200,81200,81700,82400,83600,84600,84700,85200,85900,85800,85000,84000,83500,83700,84000,83900,83400,83000,82700,82300,82400,83100,84300,85100,85200,85200,85400
Christian,67300,66500,66800,66400,66500,,66400,65800,65300,65500,65500,65400,65500,65400,65400,65700,66200,66100,65800,65500,65500,65600,65400,64900,64400,64000,63200,62300,61700,61500,61600,61800,61800,62100,62600,63000,63500,64600,65500,66100,66300,65800,65100,64700,64700,65000,65400,65200,64600,63700,63200,63300,63900,64500,65000,65300,65500,66200,66800,66900,67400,68400,69300,70000,70100,70500,72100,73700,73900,73300,72800,72600,73200,74100,74800,75300,75800,74800,72800,71400,71100,69700,69500,71400,73900,75000,75700,76000,76100,76400,77000,77700,78100,78200
Effingham,110600,108000,108900,109400,109000,107500,106600,106800,106800,106200,105400,106100,106900,106400,104600,103700,103800,104600,104900,104700,104200,103200,103200,105000,107400,109500,111800,113800,114800,115200,115400,115200,115100,115500,115800,115800,116200,116500,116600,116800,117500,118100,117600,116500,115900,115900,115400,114800,114800,115100,115000,114400,113700,114000,115400,117000,117700,118000,118500,119500,120600,121600,122100,122400,122400,122400,122400,122500,122700,122600,122200,121900,121900,121900,121800,121700,122000,122200,122700,123400,123800,124100,124300,124700,125000,124900,124500,124800,124700,124100,122900,122500,123300,124300
McDonough,,,,,,,,,,,,,,72800,74300,75900,77200,78500,79600,80000,79700,78900,77100,75800,76000,76300,75800,75800,76300,76000,74900,74800,76300,76800,75500,75000,76200,77300,77500,77800,77800,77500,77400,77100,76200,74800,73400,72900,73500,74700,75900,76600,76600,76800,77200,77300,76900,76300,75300,74900,75600,76400,77500,78800,79600,79800,80000,79600,79000,78300,77000,76000,76100,76200,75700,75300,75000,75100,75300,75300,75200,74400,73100,72100,71700,71900,72400,73000,73800,74400,74000,73100,72100,71200
Iroquois,,,98700,97200,95800,93900,90200,88300,89000,89500,87800,86100,84200,81300,77900,75200,73700,72400,71600,71600,72000,72400,72700,73400,75100,77200,78600,80100,82000,83700,85800,87300,87200,85900,85200,85400,86100,87700,90600,93800,95700,97000,98200,98900,98600,98400,98700,98800,98500,97800,97600,97700,97300,96500,95800,94500,93200,92200,91800,92400,93300,93500,93300,92400,90900,89900,89700,89700,89900,91700,93900,95100,94900,94200,93200,92600,92700,93700,93400,92100,91800,92300,92000,90500,88500,87000,86100,84700,83600,82900,83300,84200,84200,83400
Warren,58500,57800,57300,56200,54300,52900,52500,52900,54100,55400,56200,57100,58100,58000,57400,57400,58400,59600,60200,59800,59000,58000,56900,55900,56100,56800,56000,54700,54100,53800,53800,54200,55000,56400,58100,59800,61300,63200,65500,67700,69600,71300,72200,73200,73800,73000,71700,70900,70000,68700,67800,67400,67000,66300,65700,65100,64600,65000,65600,66000,66400,67200,68000,68700,68800,68700,68900,69600,70000,69700,69100,68300,67800,67400,67400,67400,67600,67800,68100,68000,67700,66900,66300,66300,66700,67100,67700,68400,68400,68000,67100,65900,64800,64100
Dewitt,79000,77900,76600,75500,74800,74500,74300,74200,74300,74600,74900,75600,76700,77900,78700,80000,79500,77100,75600,76200,76400,76500,76500,76700,76800,77200,78100,79100,79800,80500,80800,80000,79100,79100,79900,80800,81600,82100,81500,79800,78600,78700,79600,80700,81100,80800,80400,80500,80700,80300,79400,78900,79500,80400,80500,80100,80600,81500,82100,82300,82200,81600,81300,81700,82500,83000,83400,83800,83700,83000,82800,82600,82000,81700,82000,82000,81900,82300,82500,82400,82200,82000,81200,80500,80400,80500,80700,81300,81700,82000,82300,82600,82900,83400
Clark,65800,64600,65300,66100,67300,68200,68500,68000,67000,65900,64600,63900,63900,63700,63000,62200,60900,59500,58500,58200,57800,57500,57600,58300,59000,59500,59900,60200,60300,60000,59800,60000,60300,60500,60900,61400,61700,61900,62200,62700,64000,66200,68700,70800,73200,75800,78500,80900,83600,86200,87700,88200,88800,88500,86800,84600,82800,80600,78400,76400,74600,73000,72500,72000,71500,71900,72500,72600,72600,72500,72200,72500,73200,73700,73900,73700,72900,72000,71500,71400,72000,72600,72700,72200,71200,69400,68400,69000,69500,69200,70200,71000,70500,70000
Ford,78500,75800,75800,75400,75200,74800,74400,74400,74500,74800,75200,75700,75700,75600,75100,74100,73900,74700,75400,75000,74000,72900,72000,71700,72100,72100,72100,72700,73000,73000,73400,74100,74700,75500,76400,77100,77400,77800,78200,78300,77900,77200,76400,76200,76200,76000,75500,75400,75300,74700,73700,73200,73600,74200,74500,74800,75500,76300,77000,77600,78200,78600,78200,78000,78500,78900,78700,78000,77600,76800,76100,75900,76100,75800,75600,75700,75700,75300,74800,74600,74700,74200,73700,74500,76400,78600,80000,80500,80000,80200,80900,81300,81100,81000
Clay,63900,61800,60400,59500,58900,58800,59000,59500,60400,61600,63000,64300,65400,66500,67900,69500,70900,71800,72200,72100,71800,71100,70200,68900,67300,65600,64400,63700,63200,62700,62300,62200,62400,62700,63100,63500,63700,64000,64800,66200,67800,69000,70100,71400,72800,74200,75100,74400,74400,76400,78500,78400,77300,75800,74500,73600,73100,72500,72000,72200,72700,72400,71600,71100,70800,70500,70300,70200,69700,69600,70100,71400,72400,73800,75400,77300,78400,80200,82200,82800,81600,81700,82300,82200,80800,79000,76000,71300,67900,66900,66800,66400,66100,65800
Gallatin,,,,,,,,,,,,,,,,,,,,76500,75900,75700,75300,74500,73900,73400,73000,72800,72700,72600,72200,71500,70800,70400,70000,69700,69600,69500,69700,70200,70900,71800,72600,73000,73500,74300,74800,75300,75800,76200,76500,76700,76800,76600,75800,74300,72700,71100,69200,67300,65600,64000,62600,61500,60700,60100,59400,58700,58300,58100,57900,57700,57900,58600,59400,60300,61000,61700,62900,64600,66700,69300,71800,73800,75700,77600,79500,81200,82600,84000,84900,85300,85100,84800
