"","county","year","population","employment","income","rent","housevalue","price_to_rent","metro","employment_rate","mean_income"
"63","Knox","2013",52149,26545,1945336,NA,69225,4.91583333333333,0,0.509022224778999,37.3034190492627
"64","La Salle","2013",NA,NA,NA,NA,94108.3333333333,6.94916666666667,0,NA,NA
"65","Lake","2013",703411,454698,45451179,1688.5,202083.333333333,9.56166666666667,1,0.646418665616546,64.6153941294634
"66","Livingston","2013",37444,18551,1644531,1194.66666666667,85525,6.05333333333333,0,0.495433180215789,43.9197468219207
"67","Macon","2013",109533,62886,4614556,1050.83333333333,76791.6666666667,6.75,1,0.574128344882364,42.1293674052569
"68","McDonough","2013",32167,17046,1122998,NA,76325,NA,0,0.529921969720521,34.9114931451488
"69","McHenry","2013",306944,136175,14134206,1530.41666666667,165616.666666667,8.6,1,0.443647701209341,46.0481586217681
"70","McLean","2013",174777,111635,7641584,NA,141441.666666667,10.4925,1,0.638728207944981,43.7219084891033
"71","Morgan","2013",35027,18982,1289172,NA,75558.3333333333,6.07083333333333,0,0.541924800867902,36.8050932138065
"72","Peoria","2013",188377,123731,8462934,987.25,100816.666666667,8.2425,1,0.65682647032281,44.9255163846966
"73","Rock Island","2013",NA,91557,5866134,860.416666666667,96133.3333333333,8.89083333333333,1,NA,NA
"74","Sangamon","2013",198973,122902,8251256,NA,114675,10.7191666666667,1,0.617681796022576,41.4692244676413
"75","Stephenson","2013",46721,24514,1772405,NA,64625,NA,0,0.524689111962501,37.9359388711714
"76","Tazewell","2013",136203,72960,5577963,NA,117033.333333333,11.0791666666667,1,0.535671020462104,40.9533049932821
"77","Warren","2013",17627,8756,669153,1035.58333333333,69450,NA,0,0.496737958813184,37.9618199353265
"78","Whiteside","2013",57446,28463,2228868,1252.91666666667,77458.3333333333,5.3125,0,0.495474010374961,38.7993593983915
"79","Will","2013",683474,294446,29514611,1599.16666666667,169566.666666667,8.65833333333333,1,0.430807901983104,43.1832242338406
"80","Williamson","2013",67387,35478,2610622,1031.16666666667,77075,8.31666666666667,1,0.526481368810008,38.7407363438052
"81","Winnebago","2013",290868,160600,10590752,1028.25,89525,7.29416666666667,1,0.552140489844191,36.4108530329909
"82","Woodford","2013",39171,15917,1845031,1261.58333333333,148250,8.77833333333333,1,0.406346531873069,47.1019631870516
"83","Adams","2014",67031,42914,2740518,1202.91666666667,101750,NA,0,0.640211245543107,40.8843370977607
"84","Boone","2014",53706,22565,2160188,1312.08333333333,124183.333333333,7.91,1,0.420157896696831,40.2224704874688
"85","Champaign","2014",206646,125338,8550306,1026.5,127633.333333333,10.2425,1,0.60653484703309,41.3765860457013
"86","Christian","2014",33882,15284,1261514,NA,64908.3333333333,5.435,NA,0.451094976683785,37.2325718670681
"87","Clark","2014",16119,7737,605087,NA,84383.3333333333,5.00416666666667,0,0.47999255536944,37.5387430982071
"88","Clay","2014",13413,7691,468763,NA,74891.6666666667,NA,0,0.57339894132558,34.9484082606427
"89","Coles","2014",52712,31921,1882900,1246,80333.3333333333,6.02916666666667,0,0.605573683411747,35.7205190468963
"90","Cook","2014",5239254,3368829,277007331,1614.33333333333,183233.333333333,9.58583333333333,1,0.642997839005324,52.8715215944865
"91","DeKalb","2014",104798,52437,3666157,1318.66666666667,141025,8.805,NA,0.500362602339739,34.9830817382011
"92","Dewitt","2014",NA,NA,NA,NA,80525,6.80666666666667,NA,NA,NA
"93","Du Page","2014",NA,NA,NA,1823.41666666667,253133.333333333,11.5175,NA,NA,NA
"94","Effingham","2014",34337,27610,1508498,NA,116091.666666667,8.3375,0,0.804088883711448,43.9321431691761
"95","Ford","2014",13704,6730,677610,1178.08333333333,75033.3333333333,5.67583333333333,1,0.491097489784005,49.4461471103328
"96","Gallatin","2014",5308,2229,225052,NA,74083.3333333333,NA,0,0.419932177844763,42.3986435568953
"97","Grundy","2014",50409,23304,2571418,1270.33333333333,159591.666666667,10.7241666666667,1,0.4622983990954,51.011089289611
"98","Henry","2014",49673,20773,2107334,1195.08333333333,101500,7.70916666666667,1,0.41819499526906,42.4241338352828
"99","Iroquois","2014",28804,13284,1179512,1383.08333333333,95441.6666666667,NA,0,0.461185946396334,40.9495903346757
"100","Jackson","2014",59293,36191,1928447,NA,86633.3333333333,NA,1,0.610375592397079,32.5240247584032
"101","Kane","2014",526636,265092,23032971,1722.41666666667,186375,9.25,1,0.503368550573831,43.736035895761
"102","Kankakee","2014",111461,55289,4006765,1223.5,114225,8.17916666666667,1,0.496038973273163,35.9476857376123
"103","Kendall","2014",121565,39262,5109854,1749.5,195258.333333333,9.20416666666667,1,0.322971249948587,42.0339242380619
"104","Knox","2014",51953,26708,1929153,NA,68833.3333333333,5.1575,0,0.514080033876773,37.1326583642908
"105","La Salle","2014",NA,NA,NA,NA,93400,6.28583333333333,0,NA,NA
"106","Lake","2014",703357,458456,47946106,1732.83333333333,215675,10.1275,1,0.651811242370517,68.1675251685844
"107","Livingston","2014",37116,18700,1540771,1171.75,80025,6.17,0,0.50382584330208,41.5123127492187
"108","Macon","2014",108479,62926,4668575,987.5,74825,5.34583333333333,1,0.580075406299837,43.0366706920233
"109","McDonough","2014",31615,16876,1098497,NA,76000,NA,0,0.533797248141705,34.7460699035268
"110","McHenry","2014",306749,138413,14547445,1569.33333333333,176225,9.17916666666667,1,0.451225594867465,47.4245881812166
"111","McLean","2014",173843,110863,7609660,NA,140208.333333333,10.5791666666667,1,0.637719091364047,43.7731746460887
"112","Morgan","2014",34729,19036,1256863,NA,79491.6666666667,5.92666666666667,0,0.548129805062052,36.1905899968326
"113","Peoria","2014",187272,122441,8641528,953.916666666667,99800,8.77666666666667,1,0.65381370413089,46.1442607544107
"114","Rock Island","2014",NA,91189,5834491,885.583333333333,97966.6666666667,8.99,1,NA,NA
"115","Sangamon","2014",198959,124717,8533993,NA,118166.666666667,9.93833333333333,1,0.626847742499711,42.8932242321282
"116","Stephenson","2014",46339,24241,1779978,NA,84933.3333333333,NA,0,0.523123071279052,38.4120934849695
"117","Tazewell","2014",135567,73201,5706223,NA,118933.333333333,9.12333333333333,1,0.539961790111163,42.0915340754018
"118","Warren","2014",17809,8720,643912,973.25,66600,NA,0,0.489640069627716,36.156550058959
"119","Whiteside","2014",57046,28973,2251630,1196.5,77083.3333333333,5.0425,0,0.507888370788486,39.4704273743996
"120","Will","2014",685109,300300,30707090,1659,179400,9.1325,1,0.438324412611716,44.8207365543293
"121","Williamson","2014",67350,35985,2664087,1118.5,80858.3333333333,7.07833333333333,1,0.534298440979955,39.5558574610245
"122","Winnebago","2014",288639,163382,10936829,967.666666666667,87100,7.43666666666667,1,0.566042703861917,37.8910299716947
"123","Woodford","2014",39204,16333,1845504,1237.83333333333,141575,9.22666666666667,1,0.416615651464136,47.0743801652893
"124","Adams","2015",66974,42624,2804039,1182.58333333333,103133.333333333,NA,0,0.636426075790605,41.8675754770508
"125","Boone","2015",53490,23092,2217833,1326.75,133233.333333333,8.38416666666667,1,0.431706861095532,41.4625724434474
